Construct,Time,pH,HCT19ox,HCT8iso,HCT21iso,HCT36iso,HCT28deam,HCT35deam,Aggregation,IEX.Main
1H12LS,0,5,3.70,0.00,0.34,0.00,1.07,4.43,0.77,73.76
1H12LS,1,5,4.24,0.00,0.61,0.00,0.70,3.57,0.62,65.30
1H12LS,2,5,5.00,0.00,1.09,0.00,0.99,5.31,0.74,58.33
1H12LS,3,5,6.06,0.00,1.52,0.00,1.07,5.19,0.89,52.26
1H12wt,0,5,6.22,0.00,0.38,0.00,0.89,5.55,0.58,74.09
1H12wt,1,5,5.27,0.00,0.57,0.00,0.73,5.10,0.54,71.53
1H12wt,2,5,6.66,0.00,0.97,0.00,0.94,5.99,0.52,61.47
1H12wt,3,5,7.40,0.00,1.24,0.00,0.94,5.50,0.61,54.39
4N12LS,0,5,3.05,0.00,0.31,0.00,0.73,4.78,4.27,82.26
4N12LS,1,5,4.07,2.79,0.62,0.00,0.92,4.16,4.59,63.02
4N12LS,2,5,4.49,5.10,0.95,0.00,0.84,4.01,4.93,58.14
4N12LS,3,5,4.89,7.92,1.35,0.00,0.84,4.27,5.26,54.81
4N12N108Q ,0,5,4.73,0.00,0.42,0.00,0.73,3.63,1.54,81.17
4N12N108Q ,1,5,6.05,2.77,0.63,0.00,0.90,3.91,1.47,70.22
4N12N108Q ,2,5,5.69,4.83,0.89,0.00,0.82,3.91,1.73,65.55
4N12N108Q ,3,5,6.48,7.91,1.31,0.00,0.75,3.49,1.86,58.51
4N12N108QLS ,0,5,2.77,0.00,0.35,0.00,0.63,4.45,5.81,69.13
4N12N108QLS ,1,5,4.58,3.07,0.64,0.00,1.05,4.99,6.17,60.84
4N12N108QLS ,2,5,4.86,5.29,0.99,0.00,0.78,4.65,6.40,55.35
4N12N108QLS ,3,5,5.18,8.53,1.25,0.00,0.76,3.97,6.74,49.75
4N12wt,0,5,5.36,0.00,0.45,0.00,0.72,4.68,3.08,88.42
4N12wt,1,5,6.49,3.20,0.63,0.00,0.68,5.20,3.12,64.34
4N12wt,2,5,7.76,5.85,1.07,0.00,0.93,5.62,3.42,58.62
4N12wt,3,5,7.66,9.19,1.45,0.00,0.93,6.27,3.60,52.59
1H12LS,0,8,2.87,0.00,0.46,0.00,2.34,7.26,0.95,72.85
1H12LS,1,8,3.81,0.00,0.47,3.57,2.09,26.81,1.19,37.20
1H12LS,2,8,5.05,0.00,0.72,5.82,2.53,40.84,1.46,20.95
1H12LS,3,8,7.58,0.00,0.91,5.93,2.15,52.81,1.70,13.83
1H12wt,0,8,5.67,0.00,0.44,0.00,2.12,6.70,0.65,73.03
1H12wt,1,8,6.77,0.00,0.69,4.14,2.22,27.68,1.00,38.38
1H12wt,2,8,7.72,0.00,0.81,5.63,2.37,41.82,1.19,20.75
1H12wt,3,8,8.61,0.00,0.90,6.44,2.31,52.20,1.51,12.27
4N12LS,0,8,3.31,0.00,0.50,0.00,2.43,7.05,4.49,68.70
4N12LS,1,8,4.35,1.04,0.59,3.52,2.69,26.54,4.53,0.00
4N12LS,2,8,5.13,2.86,0.73,4.58,1.87,40.53,4.78,0.00
4N12LS,3,8,7.41,6.20,0.93,5.72,2.08,51.21,4.88,0.00
4N12N108Q ,0,8,5.50,0.00,0.51,0.00,2.13,6.20,1.28,77.12
4N12N108Q ,1,8,5.97,1.49,0.54,3.69,2.20,26.53,1.65,39.25
4N12N108Q ,2,8,7.78,2.31,0.75,4.92,2.13,40.02,1.75,22.56
4N12N108Q ,3,8,9.40,3.75,0.96,5.51,2.80,51.20,1.85,15.03
4N12N108QLS ,0,8,3.24,0.00,0.37,0.00,2.11,7.98,6.02,67.40
4N12N108QLS ,1,8,4.51,1.38,0.60,3.33,2.14,26.97,6.12,34.07
4N12N108QLS ,2,8,5.76,2.66,0.71,4.68,2.18,40.91,6.19,19.12
4N12N108QLS ,3,8,6.64,4.18,0.92,5.39,2.11,51.60,6.60,12.90
4N12wt,0,8,5.72,0.00,0.36,0.00,2.12,8.09,3.10,87.15
4N12wt,1,8,6.87,1.77,0.58,3.82,1.89,26.20,3.21,0.00
4N12wt,2,8,7.94,3.00,0.81,4.67,2.18,41.29,3.40,0.00
4N12wt,3,8,9.39,6.02,1.04,5.68,2.02,51.84,3.53,0.00
